n_cities,mean_distance,std_distance,cv_distance,distance_range,distance_skewness,distance_kurtosis,mean_nn_distance,std_nn_distance,cv_nn_distance,clustering_coef_3nn,clustering_coef_5nn,hull_ratio,mean_centroid_distance,std_centroid_distance,generation,iteration,city_size,distribution,embedding_method
30,13.312643678160919,3.2580511979812306,0.24473359888133922,16.0,0.6652988918165987,-0.5381351437652193,10.266666666666667,2.4890872936792627,0.24244356756616192,0.6149477736434259,0.5739839447331707,0.16666666666666666,2.6475820876037117,3.461428419736015,0,214908.0,30,lognormal,classical_mds
30,13.560919540229886,3.4271182331998444,0.25272019519273303,16.0,0.4578624014278657,-0.640424250516618,10.3,2.570992026436488,0.24961087635305707,0.4970074696545285,0.5448403633403633,0.2,2.953534437989933,3.4472995613093023,1,390248.0,30,lognormal,classical_mds
30,13.27816091954023,3.402278657908391,0.25623116623790687,16.0,0.3901410560263797,-0.6319157310209178,10.033333333333333,2.5097587312108085,0.2501420662336354,0.45316239316239315,0.565331435239902,0.13333333333333333,2.759987149725432,3.4823091048821038,2,227067.0,30,lognormal,classical_mds
30,13.351724137931035,2.8900090310866133,0.21645212267952424,16.0,0.8103881330596285,0.3429950957478458,10.466666666666667,2.404625172916191,0.22974125855887173,0.43000976148034964,0.5184766159766159,0.2,2.534546913410327,3.539392653829678,7,113146.0,30,lognormal,classical_mds
30,13.062068965517241,2.7026271330931158,0.20690651230121532,14.0,1.088328494184165,1.3877550334941238,10.266666666666667,1.9482185594936612,0.18976154800262932,0.4238518888518889,0.5068489568566968,0.16666666666666666,2.8733503750571145,3.326664840792165,8,30290541.0,30,lognormal,classical_mds
30,13.517241379310345,4.081531347072851,0.30195002312528746,20.0,0.8036473184637652,-0.04820310464965072,10.233333333333333,3.2932591084753042,0.3218168509910721,0.38899951899951896,0.5891617338056967,0.13333333333333333,2.766031134642759,4.340674370568683,10,319843.0,30,lognormal,classical_mds
30,14.071264367816092,6.957471928994995,0.4944453992995953,33.0,1.538951746806904,1.4797819921208268,10.2,5.173006862551025,0.5071575355442182,0.46733405483405477,0.6040850366237362,0.2,3.7857136980425254,6.088516513634784,11,220912.0,30,lognormal,classical_mds
30,13.280459770114943,2.74166821774584,0.20644377267083958,14.0,0.4793112178938895,-0.2568598973643721,10.2,2.11974841274462,0.20781847183770782,0.6060601743935077,0.5718736864557298,0.13333333333333333,3.0962766614538557,2.947088969747435,13,3766500.0,30,lognormal,classical_mds
30,13.485057471264367,5.388504766388047,0.3995907898702354,28.0,2.221036645414034,4.769559423154126,10.166666666666666,4.099457958749615,0.4032253729917654,0.4979618127444214,0.6207198386408912,0.13333333333333333,2.9377557457659926,5.479910784858261,15,245935.0,30,lognormal,classical_mds
30,13.291954022988506,3.465402678192542,0.2607143142535033,19.0,0.7067806498703743,3.9855017028855855e-06,9.933333333333334,2.707192067232927,0.2725361141509658,0.5785208602313865,0.674685253178792,0.2,2.940790842096248,3.8548997793125337,16,142175.0,30,lognormal,classical_mds
20,15.973684210526315,10.509361345975169,0.6579171847562709,45.0,1.481601524830387,1.753504009933517,9.4,8.69712596206356,0.9252261661769744,0.7421230730054259,0.8185234309034618,0.15,5.542786804894744,8.638574354622826,0,737004.0,20,lognormal,classical_mds
20,15.926315789473684,9.433135444873546,0.5922986564857812,39.0,0.5076904843219117,-0.6662505626652822,9.65,8.162566998193645,0.845861865097787,0.738503261444438,0.7669389709018193,0.25,4.781478217521643,7.615009642225366,0,865719.0,20,lognormal,classical_mds
20,16.021052631578947,10.313485242115547,0.6437457936931518,41.0,0.7478515082773487,-0.290920202321971,9.35,8.77083234362623,0.9380569351471905,0.532984792984793,0.723231848560796,0.15,5.464540095844471,7.934832184652819,2,622704.0,20,lognormal,classical_mds
20,15.305263157894737,7.592341964749434,0.49606085739422023,33.0,0.48736624658610694,-0.54948874893108,9.45,6.561059365681734,0.6942919963684375,0.6460234210234209,0.7656594965921592,0.15,4.391613038592484,6.464478736040978,3,479106.0,20,lognormal,classical_mds
20,15.3,7.487498352517172,0.48937897728870405,31.0,0.41952431031429005,-0.8386252517906088,9.4,6.2960304954788775,0.6697904782424338,0.6125740925740926,0.7078223410576353,0.15,5.42833316741232,6.128497235137373,5,133883.0,20,lognormal,classical_mds
20,15.957894736842105,10.797091020975763,0.6765987117366079,42.0,0.5995429229996578,-1.0169749899908194,9.4,8.5463442476886,0.9091855582647447,0.6126470588235294,0.6451610644257704,0.2,6.404689768443232,7.6780621838333545,6,198233.0,20,lognormal,classical_mds
20,17.105263157894736,20.820017535869315,1.2171702559431292,78.0,2.2320313471008393,3.7637775845036674,9.65,15.969580457857994,1.6548788039231082,0.6398060436295728,0.722610203264228,0.25,8.455890686800531,15.108117807996855,7,4824264.0,20,lognormal,classical_mds
20,17.021052631578947,18.126734514388538,1.0649596653475022,70.0,1.3823171112177433,0.6440572152943456,10.0,14.370107863199914,1.4370107863199915,0.6003250915750915,0.6378238866396762,0.2,7.958965064918061,13.411711062907585,10,713134.0,20,lognormal,classical_mds
20,17.405263157894737,30.430576272873456,1.748354850875705,108.0,2.6389375869538925,5.143891595346469,9.65,22.552771448316502,2.337074761483575,0.59252442002442,0.6853355760166906,0.2,10.736493444628234,21.141715106760124,19,622704.0,20,lognormal,classical_mds
20,16.773684210526316,13.649613146832102,0.813751646657703,50.0,0.7433125756203479,-0.6322367926911019,9.6,11.065260954898442,1.1526313494685878,0.8064844568056643,0.7874452731650874,0.15,5.873052405626465,9.721139086862856,20,479106.0,20,lognormal,classical_mds
