distribution,generation_type,city_size,pearson_r,pearson_p,spearman_rho,spearman_p
uniform,euclidean,20,-0.05131260951307985,0.0011720072085823455,0.5289417883105015,3.9223065884893464e-287
uniform,euclidean,30,-0.028198393407096865,0.11478862846013248,0.49614236989134924,3.8617308726257546e-194
uniform,asymmetric,20,0.06550153920401741,0.003382710171371053,0.057028006096898426,0.010746008726127992
uniform,asymmetric,30,0.10691790809072334,1.6490719579818472e-06,0.1955834276210586,1.0784323799808723e-18
lognormal,euclidean,20,0.23046269565947974,3.3536883933606354e-26,0.6540920164079849,1.9125758513268127e-251
lognormal,euclidean,30,0.23488409869186816,7.724708153143183e-06,0.5441799963444681,9.361738435817193e-29
lognormal,asymmetric,20,-0.24914659602818612,7.329172001161339e-40,-0.2670373550472654,9.554053636296212e-46
lognormal,asymmetric,30,-0.3028371153631951,1.71816484047174e-47,-0.39696289371131244,3.1383210218047542e-83
