symmetric_ratio,mean_asymmetry,max_asymmetry,instance_type,mutation_type,city_size,distribution,generation_type,range,iteration,generation,optimal_cost
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,1.4,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,1.4,50663,1,367.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,1.4,415880,7,371.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,1.4,416437,8,371.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,1.4,468756,10,371.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,1.4,473683,26,371.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,1.4,474434,44,372.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,1.4,2324636,47,373.0
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,1.4,2324677,48,373.0
1.0,0.0,0.0,initial,inplace,20,lognormal,euclidean,3.8,17382,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.8,0,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.8,17382,1,312.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.8,17385,455,312.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.8,17386,725,312.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,3.8,17387,807,312.0
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,3.6,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,3.6,0,0,
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,3.2,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,3.2,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,3.2,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,3.2,0,0,
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,2.6,830606,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.6,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.6,830606,1,423.0
1.0,0.0,0.0,initial,inplace,20,lognormal,euclidean,1.8,49399,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,0,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,49399,1,265.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,49409,2,265.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,49533,4,265.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,49600,6,265.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,50368,7,265.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,50379,8,265.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,53980,9,265.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,55553,11,265.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,55556,14,265.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.8,95162,15,265.0
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,3.8,285369,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,3.8,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,3.8,285369,1,406.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,3.8,289577,2,406.0
1.0,0.0,0.0,initial,inplace,20,lognormal,euclidean,1.2,19001,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.2,0,0,
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.2,19001,1,237.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.2,20987,2,237.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.2,21073,3,237.0
1.0,0.0,0.0,hardest,inplace,20,lognormal,euclidean,1.2,21075,5,237.0
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,4.2,0,0,
