config,final_hardness,hardness_improvement,trajectory_length,plateau_ratio,improvement_rate,volatility
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 1.0}",72076,70512,83,0.0,"{'slope': 128.85143185038797, 'r_squared': 0.9108446582139249}",2050.3094686683576
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 1.2}",65360,64349,167,0.0,"{'slope': 69.9857292726981, 'r_squared': 0.9181139515087985}",1223.9036451908987
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 1.4}",71283,70510,129,0.0,"{'slope': 63.53709954182165, 'r_squared': 0.8994434551459551}",1423.0189998642356
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 1.6}",146520,146403,153,0.0,"{'slope': 173.9399498404572, 'r_squared': 0.8834651928269931}",3637.574197293499
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 1.8}",1392,687,10,0.0,"{'slope': 12.436476418655026, 'r_squared': 0.8757695268764478}",88.78938875538877
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 2.2}",21536,21506,120,0.0,"{'slope': 26.194169887566733, 'r_squared': 0.9776150598459828}",359.2647235480352
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 2.4}",17162,16471,101,0.0,"{'slope': 16.11856188918353, 'r_squared': 0.8610013142162347}",429.6811211817433
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 2.6}",42806,42696,111,0.0,"{'slope': 45.30000654878149, 'r_squared': 0.9341658470265112}",847.1520399804131
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 2.8}",15837,15507,119,0.0,"{'slope': 14.541546702892632, 'r_squared': 0.9628087753083748}",252.01262163277357
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 3.0}",12178,12126,92,0.0,"{'slope': 14.19314989202878, 'r_squared': 0.9701236344728037}",308.630530328246
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 3.2}",78289,78196,125,0.0,"{'slope': 78.68320846592187, 'r_squared': 0.8495700832969806}",2160.643873230913
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 3.4}",23279,22861,110,0.0,"{'slope': 23.434192830703633, 'r_squared': 0.9818401144399803}",389.6630075975162
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 3.6}",86430,86031,123,0.0,"{'slope': 68.86492015349202, 'r_squared': 0.7918577910548772}",2467.72682181237
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 3.8}",55051,54268,129,0.0,"{'slope': 65.34898808470199, 'r_squared': 0.9309604092859198}",1426.0177502483753
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 4.0}",39031,37878,82,0.0,"{'slope': 47.346079332703056, 'r_squared': 0.8447608959873629}",983.0267374438462
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 4.2}",113761,113674,116,0.0,"{'slope': 87.78870097942136, 'r_squared': 0.7578572859820887}",2596.9120469335317
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 4.4}",85171,84076,117,0.0,"{'slope': 75.86850468526372, 'r_squared': 0.8462379968258721}",1941.2732202898455
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 4.6}",9230,9146,82,0.0,"{'slope': 7.650234532835365, 'r_squared': 0.9444198970291268}",198.10772711828267
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 4.8}",1304,1276,63,0.0,"{'slope': 1.0989597392812316, 'r_squared': 0.9792231208234392}",27.273730943597855
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'lognormal', 'city_size': 30, 'range': 5.0}",8980,8079,79,0.0,"{'slope': 6.942120671637014, 'r_squared': 0.9484781917794386}",219.9887828859934
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 5.0}",4880,4766,116,0.0,"{'slope': 4.288569349902541, 'r_squared': 0.9337187068540245}",104.44363500113123
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 10.0}",344,289,25,0.0,"{'slope': 0.3015437774188368, 'r_squared': 0.8612660057638214}",16.174772452460928
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 15.0}",1999,1839,32,0.0,"{'slope': 1.6849746933707936, 'r_squared': 0.807236286170743}",77.06611618803696
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 20.0}",916,703,41,0.0,"{'slope': 0.773109922898364, 'r_squared': 0.6011690916698184}",27.725338140408674
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 25.0}",2007,1942,71,0.0,"{'slope': 1.416931165563254, 'r_squared': 0.85997348822575}",55.49663714761353
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 30.0}",1085,1048,35,0.0,"{'slope': 0.8648404105750732, 'r_squared': 0.6021915906240195}",46.085260236573085
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 35.0}",1560,1515,63,0.0,"{'slope': 1.1937242661267735, 'r_squared': 0.8327828438719453}",42.846169312621974
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 40.0}",2033,2006,65,0.0,"{'slope': 2.768881117374694, 'r_squared': 0.9202792349104743}",55.73408370052835
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 45.0}",2477,2302,52,0.0,"{'slope': 1.8239816377907057, 'r_squared': 0.9488677056045307}",75.18213690838732
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 50.0}",1238,1102,45,0.0,"{'slope': 0.7992526822890247, 'r_squared': 0.8556439683096778}",40.06979963732295
"{'mutation_type': 'inplace', 'generation_type': 'asymmetric', 'distribution': 'uniform', 'city_size': 20, 'range': 55.0}",2565,2538,72,0.0,"{'slope': 2.9768102847935127, 'r_squared': 0.930549581954044}",53.221757255357
