Generation,Iterations,Configuration
159,315,uniform_asymmetric_wouter_30
160,899,uniform_asymmetric_wouter_30
161,899,uniform_asymmetric_wouter_30
162,899,uniform_asymmetric_wouter_30
163,533,uniform_asymmetric_wouter_30
164,533,uniform_asymmetric_wouter_30
165,533,uniform_asymmetric_wouter_30
166,533,uniform_asymmetric_wouter_30
167,502,uniform_asymmetric_wouter_30
168,502,uniform_asymmetric_wouter_30
169,502,uniform_asymmetric_wouter_30
170,502,uniform_asymmetric_wouter_30
171,502,uniform_asymmetric_wouter_30
172,502,uniform_asymmetric_wouter_30
173,502,uniform_asymmetric_wouter_30
174,502,uniform_asymmetric_wouter_30
175,519,uniform_asymmetric_wouter_30
176,515,uniform_asymmetric_wouter_30
177,515,uniform_asymmetric_wouter_30
178,515,uniform_asymmetric_wouter_30
179,515,uniform_asymmetric_wouter_30
180,535,uniform_asymmetric_wouter_30
181,536,uniform_asymmetric_wouter_30
182,536,uniform_asymmetric_wouter_30
183,536,uniform_asymmetric_wouter_30
184,536,uniform_asymmetric_wouter_30
185,536,uniform_asymmetric_wouter_30
186,536,uniform_asymmetric_wouter_30
187,536,uniform_asymmetric_wouter_30
188,536,uniform_asymmetric_wouter_30
189,536,uniform_asymmetric_wouter_30
190,536,uniform_asymmetric_wouter_30
191,536,uniform_asymmetric_wouter_30
192,536,uniform_asymmetric_wouter_30
193,536,uniform_asymmetric_wouter_30
194,536,uniform_asymmetric_wouter_30
195,536,uniform_asymmetric_wouter_30
196,536,uniform_asymmetric_wouter_30
197,536,uniform_asymmetric_wouter_30
198,536,uniform_asymmetric_wouter_30
199,534,uniform_asymmetric_wouter_30
200,543,uniform_asymmetric_wouter_30
201,543,uniform_asymmetric_wouter_30
202,543,uniform_asymmetric_wouter_30
203,543,uniform_asymmetric_wouter_30
204,1367,uniform_asymmetric_wouter_30
205,1367,uniform_asymmetric_wouter_30
206,1367,uniform_asymmetric_wouter_30
207,1367,uniform_asymmetric_wouter_30
208,590,uniform_asymmetric_wouter_30
209,590,uniform_asymmetric_wouter_30
210,590,uniform_asymmetric_wouter_30
211,590,uniform_asymmetric_wouter_30
212,590,uniform_asymmetric_wouter_30
213,590,uniform_asymmetric_wouter_30
214,261,uniform_asymmetric_wouter_30
215,255,uniform_asymmetric_wouter_30
216,255,uniform_asymmetric_wouter_30
217,255,uniform_asymmetric_wouter_30
218,255,uniform_asymmetric_wouter_30
219,255,uniform_asymmetric_wouter_30
220,255,uniform_asymmetric_wouter_30
221,255,uniform_asymmetric_wouter_30
222,255,uniform_asymmetric_wouter_30
223,255,uniform_asymmetric_wouter_30
224,255,uniform_asymmetric_wouter_30
225,255,uniform_asymmetric_wouter_30
226,255,uniform_asymmetric_wouter_30
227,261,uniform_asymmetric_wouter_30
228,261,uniform_asymmetric_wouter_30
229,261,uniform_asymmetric_wouter_30
230,262,uniform_asymmetric_wouter_30
231,262,uniform_asymmetric_wouter_30
232,262,uniform_asymmetric_wouter_30
233,262,uniform_asymmetric_wouter_30
234,262,uniform_asymmetric_wouter_30
235,262,uniform_asymmetric_wouter_30
236,262,uniform_asymmetric_wouter_30
237,262,uniform_asymmetric_wouter_30
238,262,uniform_asymmetric_wouter_30
239,262,uniform_asymmetric_wouter_30
240,262,uniform_asymmetric_wouter_30
241,262,uniform_asymmetric_wouter_30
242,262,uniform_asymmetric_wouter_30
243,262,uniform_asymmetric_wouter_30
244,262,uniform_asymmetric_wouter_30
245,262,uniform_asymmetric_wouter_30
246,262,uniform_asymmetric_wouter_30
247,262,uniform_asymmetric_wouter_30
248,278,uniform_asymmetric_wouter_30
249,278,uniform_asymmetric_wouter_30
250,278,uniform_asymmetric_wouter_30
251,278,uniform_asymmetric_wouter_30
252,577,uniform_asymmetric_wouter_30
253,577,uniform_asymmetric_wouter_30
254,577,uniform_asymmetric_wouter_30
255,577,uniform_asymmetric_wouter_30
256,581,uniform_asymmetric_wouter_30
257,581,uniform_asymmetric_wouter_30
258,508,uniform_asymmetric_wouter_30
259,508,uniform_asymmetric_wouter_30
260,508,uniform_asymmetric_wouter_30
261,508,uniform_asymmetric_wouter_30
262,508,uniform_asymmetric_wouter_30
263,508,uniform_asymmetric_wouter_30
264,508,uniform_asymmetric_wouter_30
265,508,uniform_asymmetric_wouter_30
266,544,uniform_asymmetric_wouter_30
267,544,uniform_asymmetric_wouter_30
268,544,uniform_asymmetric_wouter_30
269,543,uniform_asymmetric_wouter_30
270,343,uniform_asymmetric_wouter_30
271,343,uniform_asymmetric_wouter_30
272,316,uniform_asymmetric_wouter_30
273,316,uniform_asymmetric_wouter_30
274,316,uniform_asymmetric_wouter_30
275,316,uniform_asymmetric_wouter_30
276,733,uniform_asymmetric_wouter_30
277,733,uniform_asymmetric_wouter_30
278,733,uniform_asymmetric_wouter_30
279,733,uniform_asymmetric_wouter_30
