Generation,Iterations,Configuration
165,507,uniform_euclidean_wouter_20
166,352,uniform_euclidean_wouter_20
167,348,uniform_euclidean_wouter_20
168,319,uniform_euclidean_wouter_20
169,319,uniform_euclidean_wouter_20
170,319,uniform_euclidean_wouter_20
171,319,uniform_euclidean_wouter_20
172,321,uniform_euclidean_wouter_20
173,424,uniform_euclidean_wouter_20
174,472,uniform_euclidean_wouter_20
175,472,uniform_euclidean_wouter_20
176,692,uniform_euclidean_wouter_20
177,692,uniform_euclidean_wouter_20
178,696,uniform_euclidean_wouter_20
179,696,uniform_euclidean_wouter_20
180,696,uniform_euclidean_wouter_20
181,652,uniform_euclidean_wouter_20
182,377,uniform_euclidean_wouter_20
183,377,uniform_euclidean_wouter_20
184,377,uniform_euclidean_wouter_20
185,379,uniform_euclidean_wouter_20
186,372,uniform_euclidean_wouter_20
187,371,uniform_euclidean_wouter_20
188,371,uniform_euclidean_wouter_20
189,396,uniform_euclidean_wouter_20
190,248,uniform_euclidean_wouter_20
191,748,uniform_euclidean_wouter_20
192,748,uniform_euclidean_wouter_20
193,748,uniform_euclidean_wouter_20
194,741,uniform_euclidean_wouter_20
195,741,uniform_euclidean_wouter_20
196,748,uniform_euclidean_wouter_20
197,848,uniform_euclidean_wouter_20
198,848,uniform_euclidean_wouter_20
199,487,uniform_euclidean_wouter_20
200,487,uniform_euclidean_wouter_20
201,487,uniform_euclidean_wouter_20
202,487,uniform_euclidean_wouter_20
203,487,uniform_euclidean_wouter_20
204,488,uniform_euclidean_wouter_20
205,472,uniform_euclidean_wouter_20
206,699,uniform_euclidean_wouter_20
207,321,uniform_euclidean_wouter_20
208,321,uniform_euclidean_wouter_20
209,154,uniform_euclidean_wouter_20
210,126,uniform_euclidean_wouter_20
211,126,uniform_euclidean_wouter_20
212,126,uniform_euclidean_wouter_20
213,251,uniform_euclidean_wouter_20
214,343,uniform_euclidean_wouter_20
215,671,uniform_euclidean_wouter_20
216,451,uniform_euclidean_wouter_20
217,451,uniform_euclidean_wouter_20
218,329,uniform_euclidean_wouter_20
219,447,uniform_euclidean_wouter_20
220,447,uniform_euclidean_wouter_20
221,351,uniform_euclidean_wouter_20
222,252,uniform_euclidean_wouter_20
223,269,uniform_euclidean_wouter_20
224,453,uniform_euclidean_wouter_20
225,447,uniform_euclidean_wouter_20
226,547,uniform_euclidean_wouter_20
227,549,uniform_euclidean_wouter_20
228,516,uniform_euclidean_wouter_20
229,516,uniform_euclidean_wouter_20
230,516,uniform_euclidean_wouter_20
231,641,uniform_euclidean_wouter_20
232,537,uniform_euclidean_wouter_20
233,589,uniform_euclidean_wouter_20
234,589,uniform_euclidean_wouter_20
235,271,uniform_euclidean_wouter_20
