generation,iterations,hardest_value,optimal_cost,file_path,mutation_type,generation_type,distribution,city_size,range,normed_unique_distances,log_iterations,nearest_neighbor_norm,num_distinct_distances
1,39,39,5409.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,3.6635616461552876,1.0000000000000004,352
6,40,40,5409.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,3.6888794541389363,1.0000000000000004,352
29,41,41,5409.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,3.7135720667286978,1.0000000000000004,352
41,51,51,5409.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,3.9318256327439336,0.9999999999999998,352
43,56,56,5569.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.0253516907530065,0.9999999999999998,352
45,60,60,1101.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.094344562238767,0.9999999999999997,352
51,62,62,1101.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.12713438506122,0.9999999999999997,352
59,64,64,1101.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.158883083375297,0.9999999999999997,352
68,67,67,1101.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.204692619405892,0.9999999999999997,352
89,68,68,1101.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.2195077051908125,0.9999999999999997,352
96,71,71,1128.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.2626798770554,0.9999999999999997,352
126,76,76,1128.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.330733340299489,0.9999999999999997,352
138,78,78,1128.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.3567088267024126,0.9999999999999997,352
142,86,86,1128.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.454347296265135,1.0,352
143,102,102,1128.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.624972813294075,1.0,352
147,129,129,915.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.859812404369424,1.0,352
152,130,130,915.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.867534450463275,1.0,352
155,135,135,1138.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.905274778445837,1.0,352
158,143,143,1138.0,../data/Results/lognormal_asymmetric/city20_range4.8_swap.json,swap,asymmetric,lognormal,20,4.8,0.9263157894736842,4.9628446302669005,1.0,352
