generation,iterations,hardest_value,optimal_cost,file_path,mutation_type,generation_type,distribution,city_size,range,normed_unique_distances,log_iterations,nearest_neighbor_norm,num_distinct_distances
9,53980,53980,265.0,../data/Continuation/lognormal_euclidean/city20_range1.8_wouter.json,inplace,euclidean,lognormal,20,1.8,0.14210526315789473,10.896368886572015,0.9999999999999998,27
11,55553,55553,265.0,../data/Continuation/lognormal_euclidean/city20_range1.8_wouter.json,inplace,euclidean,lognormal,20,1.8,0.14736842105263157,10.925092799010095,0.9999999999999998,28
14,55556,55556,265.0,../data/Continuation/lognormal_euclidean/city20_range1.8_wouter.json,inplace,euclidean,lognormal,20,1.8,0.15263157894736842,10.925146800036128,0.9999999999999998,29
15,95162,95162,265.0,../data/Continuation/lognormal_euclidean/city20_range1.8_wouter.json,inplace,euclidean,lognormal,20,1.8,0.15789473684210525,11.463335981430177,1.0,30
1,285369,285369,406.0,../data/Continuation/lognormal_euclidean/city30_range3.8_swap.json,swap,euclidean,lognormal,30,3.8,0.0896551724137931,12.561538358643924,0.9999999999999999,39
2,289577,289577,406.0,../data/Continuation/lognormal_euclidean/city30_range3.8_swap.json,swap,euclidean,lognormal,30,3.8,0.0896551724137931,12.576176516450273,0.9999999999999999,39
1,19001,19001,237.0,../data/Continuation/lognormal_euclidean/city20_range1.2_wouter.json,inplace,euclidean,lognormal,20,1.2,0.06315789473684211,9.852246888342584,0.9999999999999998,12
2,20987,20987,237.0,../data/Continuation/lognormal_euclidean/city20_range1.2_wouter.json,inplace,euclidean,lognormal,20,1.2,0.06842105263157895,9.95165847739747,0.9999999999999998,13
3,21073,21073,237.0,../data/Continuation/lognormal_euclidean/city20_range1.2_wouter.json,inplace,euclidean,lognormal,20,1.2,0.07368421052631578,9.95574787919726,0.9999999999999998,14
5,21075,21075,237.0,../data/Continuation/lognormal_euclidean/city20_range1.2_wouter.json,inplace,euclidean,lognormal,20,1.2,0.07894736842105263,9.955842782870103,0.9999999999999998,15
1,23595,23595,299.0,../data/Continuation/lognormal_euclidean/city30_range0.8_swap.json,swap,euclidean,lognormal,30,0.8,0.01839080459770115,10.06879010416053,1.0,8
3,34684,34684,299.0,../data/Continuation/lognormal_euclidean/city30_range0.8_swap.json,swap,euclidean,lognormal,30,0.8,0.01839080459770115,10.45403376449708,1.0,8
5,35372,35372,299.0,../data/Continuation/lognormal_euclidean/city30_range0.8_swap.json,swap,euclidean,lognormal,30,0.8,0.01839080459770115,10.473675825695654,1.0,8
6,95729,95729,299.0,../data/Continuation/lognormal_euclidean/city30_range0.8_swap.json,swap,euclidean,lognormal,30,0.8,0.01839080459770115,11.469276561839678,1.0,8
7,130004,130004,299.0,../data/Continuation/lognormal_euclidean/city30_range0.8_swap.json,swap,euclidean,lognormal,30,0.8,0.01839080459770115,11.775320498195134,1.0,8
11,131683,131683,299.0,../data/Continuation/lognormal_euclidean/city30_range0.8_swap.json,swap,euclidean,lognormal,30,0.8,0.01839080459770115,11.788152798154425,1.0,8
1,184424,184424,293.0,../data/Continuation/lognormal_euclidean/city20_range4.4_wouter.json,inplace,euclidean,lognormal,20,4.4,0.1631578947368421,12.124992733479438,1.0,31
