generation,iteration,mutation_type,generation_type,distribution,city_size,range,iterations,symmetric,normed_unique_distances,nearest_neighbor_norm,log_iterations
9,6336.0,random_sampling,euclidean,lognormal,20,2.8,6336.0,True,0.16842105263157894,0.9999999999999998,8.754002933494261
10,713134.0,random_sampling,euclidean,lognormal,20,2.8,713134.0,True,0.1,0.9999999999999998,13.477424620027165
11,5249.0,random_sampling,euclidean,lognormal,20,2.8,5249.0,True,0.15789473684210525,1.0,8.5657928612523
12,31091.0,random_sampling,euclidean,lognormal,20,2.8,31091.0,True,0.15789473684210525,0.9999999999999998,10.344673667218705
13,1453.0,random_sampling,euclidean,lognormal,20,2.8,1453.0,True,0.16842105263157894,1.0,7.2813856635702825
14,12992.0,random_sampling,euclidean,lognormal,20,2.8,12992.0,True,0.14210526315789473,0.9999999999999998,9.472089062401459
15,9029.0,random_sampling,euclidean,lognormal,20,2.8,9029.0,True,0.06842105263157895,0.9999999999999998,9.10819689830748
16,87527.0,random_sampling,euclidean,lognormal,20,2.8,87527.0,True,0.14210526315789473,1.0,11.379702596175905
17,6191.0,random_sampling,euclidean,lognormal,20,2.8,6191.0,True,0.09473684210526316,1.0,8.730851903519232
18,65198.0,random_sampling,euclidean,lognormal,20,2.8,65198.0,True,0.13157894736842105,1.0,11.085184072597636
19,622704.0,random_sampling,euclidean,lognormal,20,2.8,622704.0,True,0.1,1.0,13.341826564478904
20,479106.0,random_sampling,euclidean,lognormal,20,2.8,479106.0,True,0.17894736842105263,1.0,13.079677146274323
0,242778.0,random_sampling,euclidean,lognormal,30,1.8,242778.0,True,0.05517241379310345,1.0000000000000002,12.399902724506997
0,13137073.0,random_sampling,euclidean,lognormal,20,0.2,13137073.0,True,0.021052631578947368,1.0,16.390948791260442
0,53906.0,random_sampling,euclidean,lognormal,20,3.8,53906.0,True,0.1631578947368421,0.9999999999999998,10.894997067955957
0,7509.0,random_sampling,euclidean,lognormal,20,5.0,7509.0,True,0.14736842105263157,1.0000000000000002,8.923857580099885
0,37991.0,random_sampling,euclidean,lognormal,20,1.8,37991.0,True,0.15789473684210525,1.0,10.54510456855174
0,1717.0,random_sampling,euclidean,lognormal,20,3.0,1717.0,True,0.09473684210526316,1.0,7.448333860897476
0,104.0,random_sampling,euclidean,lognormal,20,0.4,104.0,True,0.021052631578947368,0.9999999999999998,4.6443908991413725
0,1824.0,random_sampling,euclidean,lognormal,20,1.4,1824.0,True,0.15789473684210525,1.0000000000000002,7.508787170634276
0,763.0,random_sampling,euclidean,lognormal,30,0.6,763.0,True,0.013793103448275862,1.0,6.637258031284457
0,932.0,random_sampling,euclidean,lognormal,20,1.6,932.0,True,0.09473684210526316,1.0,6.837332814685591
1,17542.0,random_sampling,euclidean,lognormal,20,1.6,17542.0,True,0.14210526315789473,1.0,9.772353284511327
2,785.0,random_sampling,euclidean,lognormal,20,1.6,785.0,True,0.11578947368421053,0.9999999999999998,6.665683717782408
3,1950.0,random_sampling,euclidean,lognormal,20,1.6,1950.0,True,0.1,1.0,7.575584651557793
4,6517.0,random_sampling,euclidean,lognormal,20,1.6,6517.0,True,0.11052631578947368,1.0000000000000002,8.78216942633238
5,3504.0,random_sampling,euclidean,lognormal,20,1.6,3504.0,True,0.1,0.9999999999999998,8.161660452056282
6,10351.0,random_sampling,euclidean,lognormal,20,1.6,10351.0,True,0.11578947368421053,1.0000000000000002,9.24483841238375
7,41240.0,random_sampling,euclidean,lognormal,20,1.6,41240.0,True,0.1,1.0000000000000002,10.627163938130897
8,6348.0,random_sampling,euclidean,lognormal,20,1.6,6348.0,True,0.1368421052631579,0.9999999999999998,8.7558950816463
9,6451.0,random_sampling,euclidean,lognormal,20,1.6,6451.0,True,0.12631578947368421,1.0000000000000004,8.771990436532242
10,7986.0,random_sampling,euclidean,lognormal,20,1.6,7986.0,True,0.11052631578947368,1.0,8.985445287623167
11,979.0,random_sampling,euclidean,lognormal,20,1.6,979.0,True,0.14736842105263157,0.9999999999999998,6.88653164253051
12,3741.0,random_sampling,euclidean,lognormal,20,1.6,3741.0,True,0.1,1.0,8.227108234348146
13,476.0,random_sampling,euclidean,lognormal,20,1.6,476.0,True,0.11578947368421053,1.0,6.16541785423142
14,1163.0,random_sampling,euclidean,lognormal,20,1.6,1163.0,True,0.1368421052631579,1.0,7.0587581525186645
15,17619.0,random_sampling,euclidean,lognormal,20,1.6,17619.0,True,0.12105263157894737,0.9999999999999998,9.77673314419063
16,11111.0,random_sampling,euclidean,lognormal,20,1.6,11111.0,True,0.10526315789473684,1.0,9.315690887584008
17,6980.0,random_sampling,euclidean,lognormal,20,1.6,6980.0,True,0.10526315789473684,1.0000000000000002,8.850804195756417
18,2588.0,random_sampling,euclidean,lognormal,20,1.6,2588.0,True,0.14210526315789473,0.9999999999999998,7.858640655620791
19,7341.0,random_sampling,euclidean,lognormal,20,1.6,7341.0,True,0.12631578947368421,1.0000000000000002,8.901230352110781
20,932.0,random_sampling,euclidean,lognormal,20,1.6,932.0,True,0.08421052631578947,0.9999999999999998,6.837332814685591
0,98.0,random_sampling,euclidean,lognormal,20,0.6,98.0,True,0.04736842105263158,0.9999999999999998,4.584967478670572
0,170.0,random_sampling,euclidean,uniform,30,5.0,170.0,True,0.0022988505747126436,,5.135798437050262
0,6349.0,random_sampling,euclidean,uniform,30,40.0,6349.0,True,0.01839080459770115,1.0,8.75605259917045
0,475.0,random_sampling,euclidean,uniform,20,65.0,475.0,True,0.05263157894736842,1.0000000000000002,6.163314804034641
0,55564.0,random_sampling,euclidean,uniform,30,100.0,55564.0,True,0.03908045977011494,1.0000000000000002,10.92529078851728
0,11048.0,random_sampling,euclidean,uniform,30,15.0,11048.0,True,0.006896551724137931,0.9999999999999998,9.310004695089129
0,313.0,random_sampling,euclidean,uniform,20,70.0,313.0,True,0.06315789473684211,1.0000000000000004,5.746203190540153
0,234.0,random_sampling,euclidean,uniform,20,20.0,234.0,True,0.021052631578947368,1.0000000000000002,5.455321115357702
0,125044.0,random_sampling,euclidean,uniform,30,95.0,125044.0,True,0.0367816091954023,1.0,11.736420954346972
0,13120.0,random_sampling,euclidean,uniform,30,90.0,13120.0,True,0.034482758620689655,1.0,9.48189306249808
0,128668.0,random_sampling,euclidean,uniform,30,60.0,128668.0,True,0.02528735632183908,0.9999999999999999,11.764990722419466
0,1823.0,random_sampling,euclidean,uniform,30,30.0,1823.0,True,0.013793103448275862,1.0,7.508238774678663
0,10331.0,random_sampling,euclidean,uniform,30,10.0,10331.0,True,0.006896551724137931,1.0,9.242904362849446
0,268.0,random_sampling,euclidean,uniform,20,60.0,268.0,True,0.05263157894736842,0.9999999999999998,5.5909869805108565
0,14139.0,random_sampling,euclidean,uniform,30,85.0,14139.0,True,0.03218390804597701,1.0000000000000002,9.556692215591841
0,90493.0,random_sampling,euclidean,uniform,30,80.0,90493.0,True,0.029885057471264367,1.0000000000000002,11.413027778630203
0,446.0,random_sampling,euclidean,uniform,20,95.0,446.0,True,0.06842105263157895,0.9999999999999998,6.100318952020064
0,202.0,random_sampling,euclidean,uniform,20,25.0,202.0,True,0.02631578947368421,1.0000000000000002,5.308267697401205
0,896.0,random_sampling,euclidean,uniform,20,50.0,896.0,True,0.042105263157894736,1.0,6.79794041297493
0,149.0,random_sampling,euclidean,uniform,20,30.0,149.0,True,0.031578947368421054,1.0,5.003946305945459
0,1959.0,random_sampling,euclidean,uniform,30,70.0,1959.0,True,0.027586206896551724,0.9999999999999999,7.580189417944541
0,456.0,random_sampling,euclidean,uniform,20,80.0,456.0,True,0.06842105263157895,0.9999999999999998,6.1224928095143865
0,122.0,random_sampling,euclidean,uniform,20,15.0,122.0,True,0.015789473684210527,1.0,4.804021044733257
0,2804.0,random_sampling,euclidean,uniform,30,35.0,2804.0,True,0.013793103448275862,1.0000000000000004,7.938802248154481
0,27852.0,random_sampling,euclidean,uniform,30,65.0,27852.0,True,0.02528735632183908,0.9999999999999999,10.234660056062438
0,26515.0,random_sampling,euclidean,uniform,30,75.0,26515.0,True,0.03218390804597701,0.9999999999999999,10.18546588957123
1,157097.0,random_sampling,euclidean,uniform,30,75.0,157097.0,True,0.027586206896551724,1.0000000000000002,11.964618727944256
2,3441.0,random_sampling,euclidean,uniform,30,75.0,3441.0,True,0.027586206896551724,1.0000000000000004,8.14351740579748
3,5721.0,random_sampling,euclidean,uniform,30,75.0,5721.0,True,0.027586206896551724,0.9999999999999999,8.651898894268529
4,19818.0,random_sampling,euclidean,uniform,30,75.0,19818.0,True,0.022988505747126436,1.0,9.894345894618844
5,28896.0,random_sampling,euclidean,uniform,30,75.0,28896.0,True,0.029885057471264367,1.0000000000000002,10.271458456216711
6,87008.0,random_sampling,euclidean,uniform,30,75.0,87008.0,True,0.027586206896551724,1.0000000000000002,11.373755347432198
7,28052.0,random_sampling,euclidean,uniform,30,75.0,28052.0,True,0.027586206896551724,1.0,10.241815209656801
8,5660.0,random_sampling,euclidean,uniform,30,75.0,5660.0,True,0.027586206896551724,1.0,8.641179171197228
9,7934.0,random_sampling,euclidean,uniform,30,75.0,7934.0,True,0.02528735632183908,0.9999999999999999,8.978912601074276
10,31109.0,random_sampling,euclidean,uniform,30,75.0,31109.0,True,0.02528735632183908,0.9999999999999999,10.34525244536991
11,6138.0,random_sampling,euclidean,uniform,30,75.0,6138.0,True,0.02528735632183908,1.0000000000000002,8.722254235179681
12,14427.0,random_sampling,euclidean,uniform,30,75.0,14427.0,True,0.027586206896551724,0.9999999999999999,9.576856729945773
13,35122.0,random_sampling,euclidean,uniform,30,75.0,35122.0,True,0.027586206896551724,1.0000000000000002,10.4665829937358
14,81528.0,random_sampling,euclidean,uniform,30,75.0,81528.0,True,0.029885057471264367,1.0000000000000002,11.30870179850853
