,size,range,mutations,continuation,tsp type,distribution,mutation strategy
10,20,[0.4],1000,,euclidean,lognormal ,swap
10,20,[0.6],1000,,euclidean,lognormal ,swap
10,20,[0.8],1000,,euclidean,lognormal ,swap
10,20,[1.0],1000,,euclidean,lognormal ,swap
10,20,[1.4],1000,,euclidean,lognormal ,swap
10,20,[1.6],1000,,euclidean,lognormal ,swap
10,20,[1.8],1000,,euclidean,lognormal ,swap
10,20,[2.0],1000,,euclidean,lognormal ,swap
10,20,[2.4],1000,,euclidean,lognormal ,swap
10,20,[2.6],1000,,euclidean,lognormal ,swap
10,20,[2.8],1000,,euclidean,lognormal ,swap
10,20,[3.0],1000,,euclidean,lognormal ,swap
10,20,[3.2],1000,,euclidean,lognormal ,swap
10,20,[3.4],1000,,euclidean,lognormal ,swap
10,20,[3.6],1000,,euclidean,lognormal ,swap
10,20,[3.8],1000,,euclidean,lognormal ,swap
10,20,[4.0],1000,,euclidean,lognormal ,swap
10,20,[4.4],1000,,euclidean,lognormal ,swap
10,20,[4.6],1000,,euclidean,lognormal ,swap
10,20,[4.8],1000,,euclidean,lognormal ,swap
10,20,[50],1000,,euclidean,lognormal ,swap
11,30,[0.2],1000,,euclidean,lognormal ,swap
11,30,[0.4],1000,,euclidean,lognormal ,swap
11,30,[0.6],1000,,euclidean,lognormal ,swap
11,30,[0.8],1000,,euclidean,lognormal ,swap
11,30,[1.0],1000,,euclidean,lognormal ,swap
11,30,[1.2],1000,,euclidean,lognormal ,swap
11,30,[1.4],1000,,euclidean,lognormal ,swap
11,30,[1.6],1000,,euclidean,lognormal ,swap
11,30,[1.8],1000,,euclidean,lognormal ,swap
11,30,[2.0],1000,,euclidean,lognormal ,swap
11,30,[2.2],1000,,euclidean,lognormal ,swap
11,30,[2.4],1000,,euclidean,lognormal ,swap
11,30,[2.6],1000,,euclidean,lognormal ,swap
11,30,[2.8],1000,,euclidean,lognormal ,swap
11,30,[3.0],1000,,euclidean,lognormal ,swap
11,30,[3.2],1000,,euclidean,lognormal ,swap
11,30,[3.4],1000,,euclidean,lognormal ,swap
11,30,[3.6],1000,,euclidean,lognormal ,swap
11,30,[3.8],1000,,euclidean,lognormal ,swap
11,30,[4.0],1000,,euclidean,lognormal ,swap
11,30,[4.2],1000,,euclidean,lognormal ,swap
11,30,[4.4],1000,,euclidean,lognormal ,swap
11,30,[4.6],1000,,euclidean,lognormal ,swap
11,30,[4.8],1000,,euclidean,lognormal ,swap
11,30,[5.0],1000,,euclidean,lognormal ,swap
12,20,[0.2],1000,,euclidean,lognormal ,scramble
12,20,[0.4],1000,,euclidean,lognormal ,scramble
12,20,[0.6],1000,,euclidean,lognormal ,scramble
12,20,[0.8],1000,,euclidean,lognormal ,scramble
12,20,[1.0],1000,,euclidean,lognormal ,scramble
12,20,[3.2],1000,,euclidean,lognormal ,scramble
