violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio,configuration,iteration,generation,optimal_cost
58,142.0,2.4482758620689653,0.00847953216374269,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 3.2, 'mutation_type': 'swap'}",89008,20,334.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.4, 'mutation_type': 'swap'}",7141,1,271.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.4, 'mutation_type': 'swap'}",7490,3,269.0
70,1988.0,28.4,0.01023391812865497,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.4, 'mutation_type': 'swap'}",7655,8,228.0
132,3854.0,29.196969696969695,0.01929824561403509,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.4, 'mutation_type': 'swap'}",9608,9,192.0
188,5414.0,28.79787234042553,0.027485380116959064,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.4, 'mutation_type': 'swap'}",9687,11,192.0
188,5414.0,28.79787234042553,0.027485380116959064,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.4, 'mutation_type': 'swap'}",14010,12,191.0
212,5448.0,25.69811320754717,0.030994152046783626,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.4, 'mutation_type': 'swap'}",5243514,19,190.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.4, 'mutation_type': 'inplace'}",50663,1,367.0
56,285920.0,5105.714285714285,0.0022988505747126436,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.4, 'mutation_type': 'inplace'}",415880,7,371.0
112,4274034.0,38161.017857142855,0.004597701149425287,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.4, 'mutation_type': 'inplace'}",416437,8,371.0
168,4851706.0,28879.20238095238,0.006896551724137931,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.4, 'mutation_type': 'inplace'}",468756,10,371.0
222,6590724.0,29687.945945945947,0.009113300492610837,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.4, 'mutation_type': 'inplace'}",473683,26,371.0
276,8566096.0,31036.579710144928,0.011330049261083743,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.4, 'mutation_type': 'inplace'}",474434,44,372.0
332,9672142.0,29132.9578313253,0.013628899835796387,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.4, 'mutation_type': 'inplace'}",2324636,47,373.0
386,9754100.0,25269.689119170984,0.015845648604269295,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.4, 'mutation_type': 'inplace'}",2324677,48,373.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 3.8, 'mutation_type': 'inplace'}",17382,1,312.0
36,3760064.0,104446.22222222222,0.005263157894736842,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 3.8, 'mutation_type': 'inplace'}",17385,455,312.0
70,3847920.0,54970.28571428572,0.01023391812865497,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 3.8, 'mutation_type': 'inplace'}",17386,725,312.0
104,4487136.0,43145.53846153846,0.0152046783625731,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 3.8, 'mutation_type': 'inplace'}",17387,807,312.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 2.6, 'mutation_type': 'inplace'}",830606,1,423.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",49399,1,265.0
36,7487712.0,207992.0,0.005263157894736842,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",49409,2,265.0
72,9316930.0,129401.80555555556,0.010526315789473684,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",49533,4,265.0
106,13512012.0,127471.81132075471,0.015497076023391813,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",49600,6,265.0
140,14799074.0,105707.67142857143,0.02046783625730994,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",50368,7,265.0
176,15241040.0,86596.81818181818,0.025730994152046785,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",50379,8,265.0
210,15567102.0,74129.05714285714,0.03070175438596491,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 1.8, 'mutation_type': 'inplace'}",53980,9,265.0
