generation,iterations,sad,frobenius,symmetric_ratio,mean_asymmetry,mutation_type,generation_type,distribution,city_size,range
iteration_19,5243514.0,560.0,141.9859147943908,1.0,0.0,swap,euclidean,lognormal,20,1.4
last,,560.0,141.9859147943908,,,swap,euclidean,lognormal,20,1.4
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,1.4
iteration_1,50663.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,1.4
iteration_7,415880.0,10250.0,7247.844507162112,1.0,0.0,inplace,euclidean,lognormal,30,1.4
iteration_8,416437.0,152712.0,100996.24731642261,1.0,0.0,inplace,euclidean,lognormal,30,1.4
iteration_10,468756.0,173370.0,102047.1383920196,1.0,0.0,inplace,euclidean,lognormal,30,1.4
iteration_26,473683.0,236980.0,111520.10807024893,1.0,0.0,inplace,euclidean,lognormal,30,1.4
iteration_44,474434.0,312990.0,123796.18150007697,1.0,0.0,inplace,euclidean,lognormal,30,1.4
iteration_47,2324636.0,352524.0,126913.21102233605,1.0,0.0,inplace,euclidean,lognormal,30,1.4
iteration_48,2324677.0,355706.0,126933.15443177169,1.0,0.0,inplace,euclidean,lognormal,30,1.4
last,,404200.0,131483.30583005585,,,inplace,euclidean,lognormal,30,1.4
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,3.8
iteration_1,17382.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,3.8
iteration_455,17385.0,208936.0,147740.06243399248,1.0,0.0,inplace,euclidean,lognormal,20,3.8
iteration_725,17386.0,214476.0,147791.98844321704,1.0,0.0,inplace,euclidean,lognormal,20,3.8
iteration_807,17387.0,254476.0,150474.15674460516,1.0,0.0,inplace,euclidean,lognormal,20,3.8
last,,270382.0,150893.91063260307,,,inplace,euclidean,lognormal,20,3.8
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,3.6
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,3.6
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,3.2
last,,0.0,0.0,,,inplace,euclidean,lognormal,30,3.2
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,3.2
last,,0.0,0.0,,,swap,euclidean,lognormal,30,3.2
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,2.6
iteration_1,830606.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,2.6
last,,44934.0,31773.136105836325,,,inplace,euclidean,lognormal,30,2.6
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_1,49399.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_2,49409.0,416012.0,294164.90625497804,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_4,49533.0,517666.0,302819.6822037828,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_6,49600.0,779890.0,355078.1224153355,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_7,50368.0,860366.0,359609.04647408414,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_8,50379.0,884948.0,360028.89282389544,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_9,53980.0,905360.0,360318.09355068475,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_11,55553.0,941946.0,361245.61760386796,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_14,55556.0,988070.0,362714.91274277656,1.0,0.0,inplace,euclidean,lognormal,20,1.8
iteration_15,95162.0,1090582.0,369887.0949330349,1.0,0.0,inplace,euclidean,lognormal,20,1.8
last,,1536072.0,485846.82055973157,,,inplace,euclidean,lognormal,20,1.8
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,3.8
iteration_1,285369.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,3.8
iteration_2,289577.0,4.0,2.0,1.0,0.0,swap,euclidean,lognormal,30,3.8
last,,68.0,32.0624390837628,,,swap,euclidean,lognormal,30,3.8
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,1.2
iteration_1,19001.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,1.2
iteration_2,20987.0,58264.0,41198.869499053006,1.0,0.0,inplace,euclidean,lognormal,20,1.2
iteration_3,21073.0,86840.0,45887.26115165297,1.0,0.0,inplace,euclidean,lognormal,20,1.2
iteration_5,21075.0,192982.0,87969.89722626712,1.0,0.0,inplace,euclidean,lognormal,20,1.2
last,,240436.0,94152.23776416575,,,inplace,euclidean,lognormal,20,1.2
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,4.2
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,4.2
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,0.8
iteration_1,23595.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,0.8
iteration_3,34684.0,8.0,4.0,1.0,0.0,swap,euclidean,lognormal,30,0.8
iteration_5,35372.0,12.0,4.47213595499958,1.0,0.0,swap,euclidean,lognormal,30,0.8
iteration_6,95729.0,16.0,5.291502622129181,1.0,0.0,swap,euclidean,lognormal,30,0.8
iteration_7,130004.0,20.0,5.656854249492381,1.0,0.0,swap,euclidean,lognormal,30,0.8
iteration_11,131683.0,24.0,6.0,1.0,0.0,swap,euclidean,lognormal,30,0.8
last,,28.0,6.324555320336759,,,swap,euclidean,lognormal,30,0.8
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,4.4
iteration_1,184424.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,4.4
iteration_2,206062.0,7212088.0,5099716.331314125,1.0,0.0,inplace,euclidean,lognormal,20,4.4
iteration_8,605405.0,7216536.0,5099717.301206411,1.0,0.0,inplace,euclidean,lognormal,20,4.4
last,,7233400.0,5099731.242866823,,,inplace,euclidean,lognormal,20,4.4
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,20,2.6
last,,0.0,0.0,,,inplace,euclidean,lognormal,20,2.6
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,2.8
last,,0.0,0.0,,,inplace,euclidean,lognormal,30,2.8
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,3.6
last,,0.0,0.0,,,swap,euclidean,lognormal,30,3.6
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,3.8
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,3.8
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,1.2
iteration_1,124412.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,1.2
iteration_3,377766.0,8.0,4.0,1.0,0.0,swap,euclidean,lognormal,30,1.2
iteration_7,471169.0,12.0,4.47213595499958,1.0,0.0,swap,euclidean,lognormal,30,1.2
last,,40.0,14.696938456699069,,,swap,euclidean,lognormal,30,1.2
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,2.6
last,,0.0,0.0,,,swap,euclidean,lognormal,30,2.6
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,2.2
last,,0.0,0.0,,,swap,euclidean,lognormal,30,2.2
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,5.0
last,,0.0,0.0,,,inplace,euclidean,lognormal,30,5.0
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,2.8
iteration_1,786979.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,2.8
iteration_2,807640.0,20.0,10.0,1.0,0.0,swap,euclidean,lognormal,30,2.8
iteration_4,1084874.0,40.0,14.142135623730951,1.0,0.0,swap,euclidean,lognormal,30,2.8
iteration_7,5204835.0,244.0,102.975725294848,1.0,0.0,swap,euclidean,lognormal,30,2.8
last,,248.0,102.99514551666987,,,swap,euclidean,lognormal,30,2.8
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,30,3.4
last,,0.0,0.0,,,scramble,euclidean,lognormal,30,3.4
iteration_0,0.0,0.0,0.0,1.0,0.0,inplace,euclidean,lognormal,30,3.0
last,,0.0,0.0,,,inplace,euclidean,lognormal,30,3.0
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,20,1.6
iteration_1,8017.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,20,1.6
iteration_3,13015.0,8.0,4.0,1.0,0.0,swap,euclidean,lognormal,20,1.6
iteration_13,22047.0,16.0,5.656854249492381,1.0,0.0,swap,euclidean,lognormal,20,1.6
iteration_22,26629.0,20.0,6.0,1.0,0.0,swap,euclidean,lognormal,20,1.6
iteration_31,30074.0,24.0,6.324555320336759,1.0,0.0,swap,euclidean,lognormal,20,1.6
last,,92.0,34.583232931581165,,,swap,euclidean,lognormal,20,1.6
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,20,0.2
last,,0.0,0.0,,,scramble,euclidean,lognormal,20,0.2
iteration_0,0.0,0.0,0.0,1.0,0.0,scramble,euclidean,lognormal,20,4.6
last,,0.0,0.0,,,scramble,euclidean,lognormal,20,4.6
iteration_0,0.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_1,802.0,0.0,0.0,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_4,1496.0,8.0,4.0,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_8,17279.0,12.0,4.47213595499958,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_16,45830.0,20.0,6.0,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_19,58114.0,24.0,6.324555320336759,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_23,78608.0,28.0,6.6332495807108,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_24,179416.0,36.0,7.745966692414834,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_29,179811.0,40.0,8.0,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_35,181487.0,44.0,8.246211251235321,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_36,185593.0,48.0,8.48528137423857,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_37,464804.0,48.0,8.48528137423857,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_39,572498.0,52.0,8.717797887081348,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_45,592077.0,60.0,9.591663046625438,1.0,0.0,swap,euclidean,lognormal,30,0.6
iteration_51,592900.0,64.0,10.0,1.0,0.0,swap,euclidean,lognormal,30,0.6
