violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio
6794,1038037797.0,152787.42964380336,0.2788998357963875
6794,1037880097.0,152764.21798645865,0.2788998357963875
6788,1037735352.0,152877.9245727755,0.2786535303776683
6788,1037604970.0,152858.71685327048,0.2786535303776683
6783,1037549969.0,152963.2860091405,0.27844827586206894
6791,1038045015.0,152855.98807244882,0.2787766830870279
6790,1038100228.0,152886.63151693667,0.27873563218390807
6779,1036600100.0,152913.42380882136,0.2782840722495895
6775,1036930886.0,153052.529298893,0.27811986863711
6774,1036284851.0,152979.75361677,0.2780788177339901
6774,1036286313.0,152979.96944198405,0.2780788177339901
6776,1036249895.0,152929.44141086185,0.27816091954022987
6774,1036255946.0,152975.48656628284,0.2780788177339901
6777,1036715547.0,152975.58610004428,0.27820197044334977
6776,1036788031.0,153008.85935655254,0.27816091954022987
7138,1903416613.0,266659.6543849818,0.29302134646962236
7140,1904006967.0,266667.6424369748,0.29310344827586204
7145,1904877536.0,266602.87417774665,0.29330870279146143
7144,1904486214.0,266585.41629339306,0.29326765188834153
7144,1904629807.0,266605.51609742444,0.29326765188834153
7144,1904740265.0,266620.97774356103,0.29326765188834153
7141,1903294527.0,266530.53171824676,0.29314449917898194
7145,1903769608.0,266447.810776767,0.29330870279146143
7142,1903555855.0,266529.80327639316,0.2931855500821018
7150,1905743760.0,266537.5888111888,0.29351395730706076
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
58,142.0,2.4482758620689653,0.00847953216374269
0,0.0,0.0,0.0
0,0.0,0.0,0.0
70,1988.0,28.4,0.01023391812865497
132,3854.0,29.196969696969695,0.01929824561403509
188,5414.0,28.79787234042553,0.027485380116959064
188,5414.0,28.79787234042553,0.027485380116959064
212,5448.0,25.69811320754717,0.030994152046783626
0,0.0,0.0,0.0
56,285920.0,5105.714285714285,0.0022988505747126436
112,4274034.0,38161.017857142855,0.004597701149425287
168,4851706.0,28879.20238095238,0.006896551724137931
222,6590724.0,29687.945945945947,0.009113300492610837
276,8566096.0,31036.579710144928,0.011330049261083743
332,9672142.0,29132.9578313253,0.013628899835796387
386,9754100.0,25269.689119170984,0.015845648604269295
0,0.0,0.0,0.0
36,3760064.0,104446.22222222222,0.005263157894736842
70,3847920.0,54970.28571428572,0.01023391812865497
104,4487136.0,43145.53846153846,0.0152046783625731
0,0.0,0.0,0.0
0,0.0,0.0,0.0
36,7487712.0,207992.0,0.005263157894736842
72,9316930.0,129401.80555555556,0.010526315789473684
106,13512012.0,127471.81132075471,0.015497076023391813
140,14799074.0,105707.67142857143,0.02046783625730994
176,15241040.0,86596.81818181818,0.025730994152046785
210,15567102.0,74129.05714285714,0.03070175438596491
240,16005612.0,66690.05,0.03508771929824561
272,16702330.0,61405.625,0.03976608187134503
308,18546980.0,60217.46753246753,0.04502923976608187
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
36,1048266.0,29118.5,0.005263157894736842
72,1562158.0,21696.63888888889,0.010526315789473684
106,3355806.0,31658.54716981132,0.015497076023391813
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
36,129817030.0,3606028.611111111,0.005263157894736842
72,129896310.0,1804115.4166666667,0.010526315789473684
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
84,236.0,2.8095238095238093,0.0034482758620689655
162,392.0,2.419753086419753,0.006650246305418719
214,2810.0,13.130841121495328,0.008784893267651889
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
70,11402.0,162.88571428571427,0.01023391812865497
70,11402.0,162.88571428571427,0.01023391812865497
70,11400.0,162.85714285714286,0.01023391812865497
74,11404.0,154.1081081081081,0.010818713450292398
74,11404.0,154.1081081081081,0.010818713450292398
78,11408.0,146.25641025641025,0.011403508771929825
144,22262.0,154.59722222222223,0.021052631578947368
204,32024.0,156.98039215686273,0.02982456140350877
266,40870.0,153.64661654135338,0.03888888888888889
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
56,21038492.0,375687.35714285716,0.0022988505747126436
112,26712392.0,238503.5,0.004597701149425287
168,27115874.0,161404.0119047619,0.006896551724137931
224,27683022.0,123584.91964285714,0.009195402298850575
280,27730082.0,99036.00714285714,0.011494252873563218
336,27855982.0,82904.70833333333,0.013793103448275862
392,31369036.0,80023.05102040817,0.016091954022988506
448,32994678.0,73648.83482142857,0.01839080459770115
502,33432548.0,66598.70119521912,0.020607553366174057
0,0.0,0.0,0.0
58,140.0,2.413793103448276,0.00847953216374269
74,154.0,2.081081081081081,0.010818713450292398
118,208.0,1.7627118644067796,0.017251461988304094
118,210.0,1.7796610169491525,0.017251461988304094
188,12430.0,66.11702127659575,0.027485380116959064
204,12446.0,61.009803921568626,0.02982456140350877
268,23700.0,88.43283582089552,0.0391812865497076
266,23700.0,89.09774436090225,0.03888888888888889
0,0.0,0.0,0.0
100,454.0,4.54,0.004105090311986864
0,0.0,0.0,0.0
32,1114.0,34.8125,0.004678362573099415
68,2182.0,32.088235294117645,0.009941520467836258
104,277416.0,2667.4615384615386,0.0152046783625731
136,281946.0,2073.1323529411766,0.019883040935672516
170,305908.0,1799.4588235294118,0.024853801169590642
0,0.0,0.0,0.0
110,2252.0,20.472727272727273,0.00451559934318555
0,0.0,0.0,0.0
36,869346.0,24148.5,0.005263157894736842
72,137335704.0,1907440.3333333333,0.010526315789473684
108,176199182.0,1631473.9074074074,0.015789473684210527
140,176212428.0,1258660.2,0.02046783625730994
176,176633784.0,1003601.0454545454,0.025730994152046785
210,180804936.0,860975.8857142857,0.03070175438596491
246,181267872.0,736861.268292683,0.035964912280701755
282,185885522.0,659168.5177304965,0.0412280701754386
312,635985710.0,2038415.7371794872,0.0456140350877193
344,636265170.0,1849608.0523255814,0.050292397660818715
378,637260180.0,1685873.492063492,0.05526315789473684
408,637372054.0,1562186.406862745,0.05964912280701754
444,637959484.0,1436845.6846846847,0.06491228070175438
472,637965730.0,1351622.309322034,0.06900584795321638
0,0.0,0.0,0.0
64,1436.0,22.4375,0.00935672514619883
0,0.0,0.0,0.0
0,0.0,0.0,0.0
64,1140.0,17.8125,0.00935672514619883
66,1134.0,17.181818181818183,0.009649122807017544
64,1112.0,17.375,0.00935672514619883
0,0.0,0.0,0.0
56,459338.0,8202.464285714286,0.0022988505747126436
0,0.0,0.0,0.0
36,1102072.0,30613.11111111111,0.005263157894736842
72,3804841410.0,52845019.583333336,0.010526315789473684
108,3804861418.0,35230198.31481481,0.015789473684210527
144,3806803132.0,26436132.861111112,0.021052631578947368
