Comparison,p-value,Adj. p-value,Effect Size (rank-biserial)
swap-euclidean-uniform vs scramble-asymmetric-uniform,2.4635577266508857e-126,1.6259480995895846e-124,-0.8688805346700084
swap-euclidean-uniform vs inplace-asymmetric-uniform,0.0,0.0,-0.707009781953911
swap-euclidean-uniform vs swap-asymmetric-uniform,2.157030298566012e-271,1.4236399970535679e-269,-0.6422884061661411
scramble-euclidean-uniform vs scramble-asymmetric-lognormal,5.956095419487856e-45,3.9310229768619855e-43,-0.6804519368723099
scramble-euclidean-uniform vs scramble-asymmetric-uniform,8.36511098962782e-39,5.520973253154361e-37,-0.6476287262872629
scramble-euclidean-uniform vs inplace-asymmetric-uniform,1.5369744429691589e-25,1.0144031323596449e-23,-0.40257837911452743
scramble-euclidean-uniform vs swap-asymmetric-uniform,8.397554721852194e-18,5.542386116422448e-16,-0.3305723734572663
scramble-asymmetric-lognormal vs scramble-asymmetric-uniform,0.11489716375484574,1.0,0.07216666666666671
scramble-asymmetric-lognormal vs inplace-asymmetric-uniform,2.3384043267305303e-40,1.54334685564215e-38,0.4432124934118563
scramble-asymmetric-lognormal vs swap-asymmetric-uniform,6.343910466153105e-54,4.186980907661049e-52,0.5139101118675978
scramble-asymmetric-uniform vs inplace-asymmetric-uniform,3.3946519047380106e-29,2.240470257127087e-27,0.39518763796909495
scramble-asymmetric-uniform vs swap-asymmetric-uniform,1.5122722911693463e-40,9.980997121717685e-39,0.4686242401687135
inplace-asymmetric-uniform vs swap-asymmetric-uniform,3.429971178466824e-08,2.2637809777881038e-06,0.0879339543190032
