Comparison,p-value,Adj. p-value,Effect Size (rank-biserial)
scramble-euclidean-uniform vs scramble-asymmetric-lognormal,5.463653388996106e-21,3.6060112367374297e-19,-0.48571705372712937
scramble-euclidean-uniform vs scramble-asymmetric-uniform,1.4645763199879612e-11,9.666203711920544e-10,-0.3655024843143655
swap-euclidean-uniform vs wouter-asymmetric-uniform,4.3723830938540795e-144,2.8857728419436925e-142,-0.6024830939757699
swap-euclidean-uniform vs swap-asymmetric-uniform,4.86860752405558e-180,3.213280965876683e-178,-0.690183504366956
swap-euclidean-uniform vs scramble-asymmetric-lognormal,3.336840517479161e-131,2.2023147415362463e-129,-0.8763521526783304
swap-euclidean-uniform vs scramble-asymmetric-uniform,6.9982138444121605e-96,4.618821137312026e-94,-0.8189699566971622
wouter-asymmetric-uniform vs swap-asymmetric-uniform,5.083330609846072e-08,3.3549982024984074e-06,-0.08311605685129009
wouter-asymmetric-uniform vs scramble-asymmetric-lognormal,4.508897716627678e-71,2.9758724929742675e-69,-0.5474131239795523
wouter-asymmetric-uniform vs scramble-asymmetric-uniform,3.3022597191704355e-32,2.1794914146524873e-30,-0.409877686436962
swap-asymmetric-uniform vs scramble-asymmetric-lognormal,3.281860045832642e-58,2.1660276302495436e-56,-0.5007899048690421
swap-asymmetric-uniform vs scramble-asymmetric-uniform,1.6957623232849194e-23,1.1192031333680468e-21,-0.3503399660354385
scramble-asymmetric-lognormal vs scramble-asymmetric-uniform,0.0022328838874416178,0.14737033657114676,0.134615224746656
