mutation_type,generation_type,distribution,city_size,range,mean,median,std,count,max,min
swap,asymmetric,lognormal,30.0,3.8,5673.819277108434,5544.0,3662.823355057622,83,12509,0
scramble,asymmetric,uniform,30.0,15.0,5794.0,5472.0,5102.78538316738,4,12232,0
wouter,euclidean,uniform,20.0,75.0,5129.460526315789,5265.0,1214.3358068320256,76,6860,0
scramble,euclidean,uniform,20.0,40.0,8208.8,5206.0,11923.635485874265,5,29014,0
wouter,euclidean,uniform,20.0,100.0,6336.833333333333,5137.0,3285.619126918063,54,14101,0
swap,asymmetric,lognormal,30.0,4.2,7983.012195121952,5093.0,7315.755901289821,82,21929,0
swap,asymmetric,uniform,20.0,80.0,4838.084848484848,5021.0,2774.834779537775,165,9369,0
swap,asymmetric,uniform,20.0,25.0,4529.437908496732,4990.0,2754.7846076610276,153,9100,0
wouter,euclidean,uniform,20.0,90.0,4932.791666666667,4954.0,1511.5051672314507,48,7343,0
scramble,asymmetric,uniform,30.0,100.0,3666.4285714285716,4734.0,2492.527355727038,7,6456,0
wouter,euclidean,lognormal,20.0,0.4,8319.768115942028,4596.0,6847.153464256961,69,23621,0
wouter,asymmetric,lognormal,30.0,3.6,4828.6511627906975,4559.5,3930.753966794312,86,12273,0
scramble,asymmetric,lognormal,30.0,0.6,5290.166666666667,4548.0,4156.856457235516,12,13991,0
scramble,asymmetric,uniform,30.0,5.0,6201.625,4392.5,5957.643348494196,8,19024,0
wouter,asymmetric,uniform,30.0,5.0,3495.95,4387.5,1827.9397886380382,80,5327,0
scramble,asymmetric,lognormal,30.0,1.6,4885.625,4348.5,4785.135344779408,8,14070,0
wouter,asymmetric,lognormal,20.0,1.8,8569.822222222223,4337.0,8370.99640538123,135,25916,0
scramble,euclidean,uniform,20.0,70.0,3482.714285714286,4265.0,1766.9566788016919,7,4884,0
scramble,asymmetric,uniform,30.0,50.0,4797.666666666667,4075.0,4186.230985823247,6,11139,0
scramble,asymmetric,lognormal,30.0,2.4,3356.1428571428573,4057.0,2464.359648304296,7,6049,0
scramble,asymmetric,lognormal,30.0,1.0,4482.833333333333,3937.0,4171.16786603784,6,10939,0
scramble,asymmetric,uniform,30.0,55.0,4441.75,3898.0,3841.343505672388,8,9720,0
wouter,euclidean,uniform,20.0,30.0,3346.3214285714284,3870.5,1389.5187297278687,28,4920,0
scramble,euclidean,lognormal,20.0,0.8,3783.0,3783.0,5349.969906457419,2,7566,0
scramble,asymmetric,uniform,30.0,10.0,3924.0,3759.0,3249.196015939943,9,10456,0
swap,asymmetric,lognormal,20.0,3.0,5666.097222222223,3759.0,4448.806387133746,144,16441,0
wouter,euclidean,uniform,20.0,25.0,3853.783505154639,3642.0,2323.506465752087,97,10192,0
scramble,euclidean,uniform,20.0,35.0,3381.2,3618.0,1678.9392683080193,10,6424,0
scramble,asymmetric,uniform,30.0,20.0,4978.2,3600.0,6374.061339174228,10,21595,0
wouter,asymmetric,lognormal,30.0,3.4,3954.0,3585.5,2369.075220903475,88,9152,0
scramble,euclidean,uniform,20.0,5.0,3513.0,3513.0,4968.132244616683,2,7026,0
swap,asymmetric,lognormal,20.0,0.4,3369.8231707317073,3492.0,1836.1704177160148,164,7054,0
swap,asymmetric,uniform,20.0,10.0,4109.27108433735,3415.5,3006.8662200806084,166,9542,0
scramble,asymmetric,lognormal,30.0,1.4,4318.818181818182,3390.0,4039.450527440132,11,14527,0
scramble,euclidean,uniform,20.0,90.0,4893.714285714285,3342.0,5412.635486042072,7,15264,0
wouter,asymmetric,uniform,20.0,25.0,3171.536231884058,3307.5,1906.8345082212463,138,6276,0
scramble,asymmetric,uniform,30.0,65.0,3538.8888888888887,3278.0,2299.4223972796103,9,6431,0
wouter,euclidean,uniform,20.0,10.0,3605.285714285714,3256.0,1971.474297261292,7,5845,0
wouter,asymmetric,uniform,20.0,75.0,3254.289655172414,3211.0,2095.425795092601,145,7329,0
scramble,euclidean,uniform,20.0,95.0,3725.0,3194.0,2282.8596649816213,9,7461,0
swap,asymmetric,uniform,20.0,40.0,3835.595238095238,3162.5,3596.8445277889737,84,14288,0
scramble,euclidean,lognormal,20.0,1.0,2575.4285714285716,3115.0,2041.1868163026184,7,6128,0
wouter,asymmetric,lognormal,20.0,1.6,3884.0071942446043,3112.0,3408.813951790107,139,13228,0
wouter,asymmetric,uniform,30.0,85.0,4120.775862068966,3093.0,2701.2410483885456,116,11488,0
swap,asymmetric,lognormal,20.0,3.4,2524.9666666666667,3036.0,1528.0951235906662,90,4510,0
scramble,asymmetric,uniform,30.0,70.0,3564.4,2974.0,4094.9113299313335,5,10214,0
wouter,asymmetric,uniform,20.0,85.0,4104.353448275862,2970.5,3027.954876621772,116,9829,0
scramble,euclidean,uniform,20.0,15.0,3672.75,2947.0,2567.788584421567,8,7882,0
swap,asymmetric,uniform,20.0,60.0,2632.7591240875913,2832.0,1592.2993756973858,137,5080,0
scramble,asymmetric,uniform,30.0,25.0,3737.818181818182,2810.0,3077.2701154816364,11,9476,0
wouter,euclidean,lognormal,20.0,1.6,2366.375,2785.5,966.7116481734797,8,2803,0
scramble,asymmetric,lognormal,30.0,0.4,3201.8333333333335,2755.0,3036.7348528751513,6,7109,0
swap,asymmetric,lognormal,20.0,1.4,2689.675925925926,2742.0,1611.4976248598823,108,5874,0
swap,asymmetric,lognormal,20.0,1.2,2305.2242990654204,2722.0,1287.7968996995153,107,3926,0
wouter,asymmetric,uniform,30.0,90.0,3630.767441860465,2686.0,2735.8563718671635,43,8978,0
swap,asymmetric,lognormal,20.0,3.6,3485.2134831460676,2652.0,3219.741690909346,89,12031,0
scramble,euclidean,uniform,20.0,45.0,3074.8333333333335,2643.0,2696.6724989636145,6,7357,0
swap,asymmetric,uniform,20.0,20.0,2487.6491228070176,2610.0,1480.0381840473444,114,4746,0
wouter,asymmetric,lognormal,20.0,1.4,2892.256,2589.0,1826.6103673020923,125,6491,0
scramble,asymmetric,uniform,30.0,35.0,2869.875,2585.0,2616.195953642835,8,6334,0
scramble,euclidean,uniform,20.0,85.0,2095.5555555555557,2563.0,1394.2067736809263,9,4009,0
